1,6,0,*,1,*,1,1,1,1,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
2,30,-99.7,-,0.5,+,1,2,20,9999,0.5,>,2,1,+,100,999,FALSE,0,0,FALSE,100,100
3,3,2,*,1.1,*,0.8,2,20,9999,0.5,>,2,1,+,1,999,FALSE,0,0,FALSE,100,100
6,6,0,*,1,*,1,1,20,9999,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
6001,6,-0.9,*,1.2,*,0.8,1,20,9999,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
6002,6,0.9,*,1.2,*,0.8,1,20,9999,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
1201,12,-0.9,*,1.1,*,0.8,1,20,9999,0.5,>,2,1,+,1,999,FALSE,0,0,FALSE,100,100
1202,12,1,*,1.1,*,0.8,1,20,9999,0.5,>,2,1,+,1,999,FALSE,0,0,FALSE,100,100
20,20,2.5,*,1.3,*,1.3,1,20,9999,0.5,>,2,1,+,0.5,999,FALSE,0,0,FALSE,100,100
666,6,0,*,1,*,1,1,20,9999,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
31,31,0.9,*,1.1,*,0.8,2,20,9999,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
4,3,2,*,1.1,*,0.8,2,20,9999,0.5,>,2,1,+,1,999,FALSE,0,0,FALSE,100,100
32,32,2,+,1,-,0.5,2,20,9999,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
3101,31,1,*,1.1,*,0.8,2,20,9999,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
3102,31,-3.5,*,1.1,*,0.8,2,20,9999,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
2201,22,9,*,1.5,*,0.75,2,20,9999,0.5,>,2,1,-,9.81,999,FALSE,0,0,FALSE,100,100
2202,22,-15,*,1.5,*,0.75,2,20,9999,0.5,>,2,1,-,9.81,999,FALSE,0,0,FALSE,100,100
28,28,-0.99,*,1.1,*,0.8,2,20,9999,0.5,>,2,2,+,1,999,FALSE,0,0,FALSE,100,100
29,29,1,*,1.1,*,0.75,2,20,9999,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
33,33,0.1,*,1.1,*,0.9,20,20,9999,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
333,33,0.01,*,2,*,0.5,2,20,9999,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
3001,30,-100,*,1.1,*,0.75,2,20,9999,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
3002,30,100,*,1.1,*,0.75,2,20,9999,0.5,>,2,1,+,0,999,FALSE,0,0,FALSE,100,100
9999,29,3,*,1.1,*,0.75,20,20,9999,0.5,>,1,1,+,0,999,TRUE,4,0,TRUE,100,50
